AS_OF_DATE;FLAG_PAYROLL;CUSTOMER_NAME;SEGMENT;SENTRA_CODE;CIF_KEY;NOREK;BRANCH_CODE;ACCOUNT_TYPE;SUB_CATGEGORY;CURRENCY;PRODUCT_NAME;BAKI_DEBET_ORG;BAKI_DEBET_IDR;AVG_BAKI_DEBET_MTD_ORG;AVG_BAKI_DEBET_MTD_IDR;AVG_BAKI_DEBET_YTD_ORG;AVG_BAKI_DEBET_YTD_IDR;DENDA;TUNGGAKAN_BIAYA;TUNGGAKAN_BUNGA;OUTSTANDING_ORG;OUTSTANDING_IDR;INTEREST_INCOME_MUTASI;ECL_FINAL_IDR_CURRENT;WORST_COLLECTIBILITY;SUKU_BUNGA;FLAG_PRODUK;KURS
25/04/2024;Yes;Customer 68;Retail;994;199890;40804460;23;Loan;Gold;USD;Product B;50592.81;127527070.74;534.64;579489428.98;26790.06;72424675.39;384.53;267.54;2696.73;59596.51;504804314.65;6133.87;6509.3;3;6.82;Active;14335.07
01/07/2023;No;Customer 69;Retail;361;588432;20266294;41;Loan;Gold;EUR;Product C;36007.28;442163482.44;49891.35;46757361.23;2552.23;214064523.29;217.57;767.14;437.64;35834.14;80543451.93;18943.81;1711.42;2;13.86;Inactive;14729.3
25/06/2023;Yes;Customer 70;SME;363;614902;87645384;18;Loan;Gold;EUR;Product A;16185.46;131390148.42;7915.11;382976052.95;40511.32;284115504.42;112.72;328.82;753.09;29632.04;182028011.44;1432.12;7161.97;4;7.01;Active;14800.19
21/04/2023;Yes;Customer 71;Corporate;442;180977;94491695;18;Current;Silver;IDR;Product B;45101.48;599675186.46;27825.25;14368993.29;4599.92;279466250.05;154.05;715.44;390.31;30620.03;420430770.19;12903.03;1964.02;1;5.69;Active;14884.48
04/07/2024;No;Customer 72;Corporate;888;227242;11438699;33;Savings;Gold;EUR;Product C;35747.33;250332412.13;9827.83;578942364.81;26295.21;126116807.89;357.89;518.85;3197.85;55151.3;216639376.12;13014.48;9825.59;1;11.02;Inactive;14703.64
28/03/2024;No;Customer 73;Retail;135;352797;88531312;23;Current;Silver;EUR;Product B;24111.73;468644848.56;27254.23;117913911.37;25725.38;187218900.02;105.88;793.76;1589.54;39891.91;580303739.74;250.63;3052.29;5;10.71;Active;14809.64
24/01/2023;No;Customer 74;SME;890;939152;72259405;25;Current;Platinum;USD;Product C;14731.33;323117829.23;4888.21;145197594.85;38537.87;212718493.37;393.24;980.59;3884.87;50252.64;720911628.47;2944.74;7147.83;3;9.83;Active;14507.12
13/11/2023;Yes;Customer 75;Corporate;828;252664;35027309;32;Savings;Platinum;IDR;Product B;13164.2;617630146.6;7959.61;290138120.92;35158.86;248856084.15;369.24;277.04;3816.85;29578.27;544340878.28;19612.79;1474.71;1;7.26;Active;14889.8
25/04/2023;Yes;Customer 76;Corporate;312;883408;15962410;37;Current;Silver;IDR;Product B;1196.86;747284409.55;12049.74;542827069.67;37453.94;327438123.43;50.79;283.45;901.83;64259.6;507031523.76;6408.05;4239.66;5;5.61;Active;14803.22
05/04/2023;No;Customer 77;Retail;421;989636;44096448;37;Current;Platinum;USD;Product A;4459.63;73092955.93;17081.59;225209669.32;28732.62;269802002.04;415.31;339.41;4445.64;15526.61;288420379.21;701.19;8586.67;4;3.87;Inactive;14933.24
10/01/2023;Yes;Customer 78;SME;116;651295;13935500;15;Current;Platinum;EUR;Product C;32593.66;596307163.85;45979.65;113522815.06;19232.63;319685892.7;99.94;863.89;577.15;15471.17;171615071.07;2997.54;9115.76;1;12.3;Inactive;14693.9
27/10/2023;Yes;Customer 79;Retail;173;446843;94956509;15;Savings;Platinum;EUR;Product C;87223.69;344350145.9;41310.58;184989776.75;7868.47;369147743.26;402.97;733.92;4768.06;48273.45;670708162.94;16629.02;5445.04;4;10.63;Active;14372.57
20/04/2023;No;Customer 80;Corporate;670;326704;85586741;45;Loan;Gold;USD;Product C;97123.28;534877896.67;47859.38;448582192.14;11132.81;495132143.63;426.79;303.32;3079.83;40529.36;437121017.96;13089.72;2164.96;2;11.88;Active;14674.33
05/01/2024;Yes;Customer 81;Corporate;562;686006;97385009;46;Loan;Platinum;USD;Product C;33216.43;641013561.07;49324.18;393500711.87;23234.25;347346364.49;451.46;900.13;3680.07;6950.39;685160000.67;173.05;7789.0;3;12.86;Active;14505.95
01/08/2023;No;Customer 82;Corporate;983;249789;93191799;21;Current;Gold;EUR;Product A;45254.11;444363028.8;8598.81;235398370.02;30082.15;65141966.56;453.87;234.98;1475.8;35353.18;661944748.61;13932.02;7222.29;4;9.16;Active;14089.48
12/03/2024;Yes;Customer 83;Retail;588;828520;93176934;18;Savings;Platinum;IDR;Product A;63970.99;450584617.18;2873.21;393103818.7;39869.78;257818278.13;208.33;592.16;4848.23;72191.02;364964694.31;12747.66;1145.27;3;1.14;Inactive;14267.04
18/10/2024;Yes;Customer 84;Retail;263;199832;96655276;46;Savings;Platinum;USD;Product C;7033.42;223463006.63;24009.67;222871507.82;22700.06;300374487.64;193.84;216.49;1217.52;88181.48;632318816.94;7842.44;579.8;1;5.22;Inactive;14206.69
20/06/2024;Yes;Customer 85;Retail;164;641434;64381215;45;Loan;Gold;EUR;Product B;58081.73;308151706.19;23710.53;487956034.01;5158.53;343704528.17;85.53;113.41;2578.97;80586.03;363198045.33;3529.55;596.14;3;5.19;Inactive;14597.06
20/08/2024;No;Customer 86;Corporate;460;646593;45585878;40;Current;Gold;USD;Product C;20080.15;541664049.22;19487.16;508787241.13;13151.84;92200922.79;295.95;570.74;3490.46;29375.52;350563922.92;5566.26;6120.46;1;0.87;Active;14087.46
08/03/2023;Yes;Customer 87;SME;693;177124;56467156;19;Loan;Platinum;USD;Product C;40920.21;91257701.59;7256.56;365646476.51;41511.39;274989243.3;120.59;473.12;2535.58;50795.15;738473029.7;13162.41;3962.03;2;12.65;Inactive;14367.17
18/02/2023;No;Customer 88;Retail;731;162488;72050019;13;Savings;Platinum;IDR;Product B;11360.76;707004760.13;40802.99;154356245.17;41514.25;106060726.3;164.41;911.6;1290.93;71975.54;111654987.61;9222.77;3704.88;4;2.03;Inactive;14554.37
14/04/2024;Yes;Customer 89;Corporate;700;471677;29805402;19;Loan;Silver;USD;Product C;69690.03;376013180.58;6173.49;121409301.17;18080.27;459174882.49;226.47;522.93;3531.18;83474.19;520149250.36;8280.08;5656.12;3;9.77;Inactive;14144.49
23/12/2024;No;Customer 90;Retail;248;864490;35365431;29;Savings;Silver;USD;Product A;35892.3;714979286.29;17420.24;381938368.76;18705.07;22464530.03;194.53;733.11;4845.71;14442.88;22843373.59;15808.8;3601.58;2;4.23;Inactive;14698.4
01/03/2024;No;Customer 91;Retail;750;138365;77448457;5;Savings;Gold;USD;Product C;28812.49;28414830.65;48205.82;548277492.99;8264.25;423070391.26;172.61;622.06;3929.3;48862.08;65784257.4;11814.61;6521.16;3;5.83;Active;14179.88
03/06/2024;Yes;Customer 92;Retail;612;116606;84281587;34;Loan;Platinum;EUR;Product B;62028.43;535530835.74;26592.41;557144422.72;31558.75;87814036.5;274.68;80.82;4124.78;54866.72;431650004.93;8434.43;8833.64;3;12.83;Inactive;14489.21
05/02/2024;Yes;Customer 93;SME;471;295852;42193134;47;Current;Gold;USD;Product B;82807.6;329660592.99;4840.6;574765291.39;2578.0;329057227.18;380.15;955.53;4571.13;6221.2;726826057.77;11731.84;352.7;4;11.06;Active;14563.8
03/09/2024;No;Customer 94;Corporate;503;291524;57108578;10;Savings;Platinum;IDR;Product C;13277.96;517055226.71;26801.06;336101601.89;6970.66;119988719.69;319.66;800.89;2159.22;83259.25;585320160.47;18703.52;7701.39;4;3.94;Active;14142.68
30/12/2023;Yes;Customer 95;Retail;392;764697;99260618;30;Current;Platinum;EUR;Product B;33613.28;725888564.52;21773.97;479347570.29;7222.74;358168256.54;253.62;689.4;654.18;8637.39;313307366.8;10835.71;7434.65;4;6.19;Inactive;14748.08
24/04/2024;Yes;Customer 96;Corporate;338;959438;66223823;20;Loan;Silver;EUR;Product B;10684.4;470923446.61;29199.15;490373769.03;1248.54;228860331.82;146.94;146.0;2349.56;78264.42;653152329.96;18704.9;9885.81;1;2.03;Inactive;14123.08
04/03/2024;Yes;Customer 97;SME;169;647147;46752769;14;Savings;Silver;IDR;Product B;71356.46;191942607.46;26969.29;467930172.94;18141.17;459170272.01;30.85;678.14;3410.64;85448.25;397563112.1;17372.13;2566.96;2;2.06;Active;14153.54
14/11/2024;Yes;Customer 98;Retail;965;871040;78786256;13;Current;Silver;EUR;Product B;84478.72;596593919.27;41230.23;383324320.08;39843.08;432120660.32;423.18;912.85;4328.82;20491.49;430470367.02;8536.14;2753.2;4;13.17;Inactive;14470.41
27/12/2023;No;Customer 99;SME;933;670246;85789947;33;Current;Platinum;IDR;Product A;61982.0;746332680.23;28461.91;398420537.44;31662.65;223484812.48;96.07;539.8;3971.79;84539.41;49023969.95;3893.87;6464.12;1;6.16;Inactive;14774.04
07/12/2023;Yes;Customer 100;Corporate;863;803189;30653103;8;Loan;Gold;EUR;Product A;75544.88;87045423.38;36288.35;231916152.14;7869.67;461909866.69;391.71;736.76;995.13;60631.66;174961962.6;8504.77;2213.64;3;9.41;Active;14514.24
